FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity
0.156071737,0.5319934,0.793650794,95.58825402
0.167293236,0.7905115,0.801020408,96.70324374
0.148724198,0.8387884,0.55199005,112.5667024
0.161270738,0.87370425,0.784288194,95.81732779
0.138603613,0.8161861,0.72429078,101.9794756
0.125362918,0.8121782,0.760116813,94.69077173
,0.8333273,0.786264442,132.1807497
0.069353305,0.30010328,0.788815789,131.7806033
0.191679448,0.90268135,0.717159019,129.9173744
0.085611835,0.4790433,0.773611111,141.7723934
0.061008491,0.74324316,0.791071429,130.7616609
0.049459487,0.74882454,0.689361702,127.4262517
0.054720372,0.7119289,0.77928744,144.2860183
0.077150531,0.9000143,0.749183007,132.2347157
0.064056456,0.8774178,0.746464646,142.7466096
0.055814687,0.88229424,0.790816327,126.174738
0.043506481,0.86881864,0.773399015,131.994049
0.058692481,0.8366587,0.710464201,137.9115713
0.09999276,0.6387563,0.710919089,134.149909
,0.95020425,0.780780781,142.9902642
0.063512057,0.71931785,0.742481203,135.4725345
0.101468764,0.5402477,0.765985498,133.6118931
0.119946428,0.7244143,0.793333333,129.250226
0.059462003,0.953444,0.759545924,132.7116783
,0.85883844,0.712698413,99.49321034
0.092132211,0.2401991,0.687145558,101.4295839
0.098509647,-0.2605139,0.770034843,105.256171
0.066749617,0.7477654,0.703125,92.28808542
0.088232167,0.89240134,0.763546798,109.5549824
0.082203709,0.92338395,0.780208333,100.4972442
0.089006893,0.8060839,0.725338491,99.53292141
0.085549742,0.91248554,0.777680907,129.5299122
0.107153319,0.951033,0.80872914,132.0193281
0.055690151,0.66471624,0.71031746,134.2071844
,0.9665859,0.740601504,137.1860418
0.078220524,0.80850714,0.794468887,144.1798102
0.091938101,-0.087395266,0.772448612,132.8800543
0.063832209,0.7144151,0.778528529,130.2752965
0.074806251,0.9245975,0.751724138,139.5040025
0.064333051,0.96158355,0.759738329,120.9262515
,0.9324869,0.780851064,131.6192673
0.048223779,0.617722,0.746606335,136.395524
0.072188526,0.4987919,0.773333333,123.1001231
0.084879108,0.7228881,0.744736842,130.8565366
0.075849466,0.65381527,0.762962963,134.2610395
0.058635179,0.8144802,0.777777778,119.9922463
,0.83914775,0.691876751,125.2691469
,0.93460244,0.791975309,132.1202944
,0.9226484,0.72899927,136.3115644
,0.9052959,0.746632997,120.310565
0.043926489,0.65380013,0.787925697,121.054692
0.04191995,0.72606015,0.730714286,120.9067385
0.069763541,0.44953528,0.724761905,143.8736083
0.100458488,0.8888619,0.746153846,147.9879887
,0.88770694,0.76384083,154.2557493
,0.81822383,0.717592593,161.2336567
0.098171428,0.57693774,0.772692308,76.50354847
0.11238686,0.63825786,0.708812261,76.88757341
0.108124323,0.8949371,0.786555787,81.48178526
0.125913605,0.8805037,0.794181034,85.05597491
0.119027413,0.71524715,0.735241503,75.19350679
0.103602007,0.49842477,0.715488215,74.94573715
,0.93232405,0.791992188,75.21449226
0.060587805,0.91240734,0.822222222,128.8281726
0.065676212,0.80263144,0.654736842,130.8839786
0.083390974,0.71396375,0.732765957,120.0931562
0.067738041,0.9497148,0.694186047,113.6312926
0.058320235,0.9245031,0.729420732,120.4815626
0.08451432,0.63279057,0.766899767,124.2151876
,0.69857395,0.708506841,122.6788335
0.205871284,0.20416047,0.789230769,98.12728358
0.071322933,0.6907781,0.763194444,99.53474435
0.065224364,0.6247345,0.759139785,111.9298499
,0.9173142,0.747829861,107.1391002
0.08570008,0.41850734,0.737837838,103.0675044
,0.9324069,0.745507246,101.3854169
0.075487986,0.9245704,0.75970696,96.61924134
0.159681067,0.52850974,0.771604938,141.33197
0.076761164,0.9160847,0.766023166,134.1299613
,0.8136692,0.792,141.7135059
,0.70146984,0.796703297,151.0146587
0.071055233,0.8999239,0.795555556,137.0077754
0.092363149,0.21739972,0.702546296,136.2337444
0.116554409,0.801384,0.802051282,142.4487729
0.048831355,0.42852676,0.773504274,143.7250534
0.073199287,0.45207456,0.676954733,136.0322491
0.064593025,0.8538468,0.827702703,139.1827903
0.063032545,0.5265949,0.734196117,137.4980975
0.075261481,0.90669334,0.697600724,135.4982152
0.058892235,0.66070324,0.753297683,157.2574318
0.09071485,0.44805118,0.767904509,158.2703358
0.058698494,0.6752631,0.792205128,150.1012722
0.070511371,0.78039443,0.77375,155.8581214
0.074820511,0.644772,0.703877791,122.2602385
0.096605539,0.43713048,0.74962963,124.155996
0.0730379,0.4230813,0.782638889,128.8476502
,0.97957444,0.738647343,123.7020372
0.048774939,0.73151225,0.648447205,124.8962108
,0.8927647,0.740128558,128.1614365
0.049770709,0.8697876,0.810846561,122.4944093
0.08115489,0.7162596,0.748842593,121.8904516
0.061959703,0.90884984,0.752873563,123.1880744
0.094741851,0.9395965,0.763786765,119.915656
0.092395484,0.8219501,0.690666667,128.8120943
0.101381913,0.7899267,0.77595386,124.70675
0.109545022,0.8836037,0.717391304,123.221835
0.100812472,0.69784415,0.781471222,129.2596185
,0.8869418,0.771124979,125.8431261
0.084965706,0.70637006,0.700256739,140.7971611
0.074701466,0.7156552,0.78105502,133.7566028
0.079003215,0.7003292,0.701404287,143.4171316
0.111781813,0.009799471,0.707465278,151.5140782
0.119625174,0.18828905,0.746710526,154.4839735
0.076298825,0.52866304,0.663815789,136.49527
0.081252411,0.90951484,0.715601966,142.6085412
0.097086661,0.83487415,0.7749658,160.9102712
0.093250141,0.2767895,0.753024614,118.5995944
0.088369176,0.6240321,0.744358121,115.0897095
0.133715957,0.89843875,0.783834586,118.6627191
0.109865718,0.57252467,0.773571429,116.9250166
0.08943864,0.8493266,0.767885533,115.548214
0.10441725,0.68291235,0.77369281,120.4086883
0.096778907,0.5895727,0.756925208,114.8752837
0.100478798,0.8588581,0.736764706,110.9374546
,0.6272313,0.651477833,117.2467024
0.14557825,0.42693955,0.780048077,117.829813
0.078722015,0.46216846,0.779545455,125.4272847
,0.8826004,0.766666667,124.0826949
0.115612403,0.72954893,0.805871212,124.6259155
0.109999418,0.8299715,0.75625,126.5048229
0.084853962,0.6381507,0.728804348,126.7151877
0.098503403,0.85806644,0.77047619,139.0060316
