FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity,A_Eccentricity similarity
0.06405645608901978,0.8774178,0.7464646464646465,142.7466096,0.6066297264676198
0.05581468716263771,0.88229424,0.7908163265306123,126.174738,0.5658798132188201
0.04350648075342178,0.86881864,0.7733990147783252,131.994049,0.5275728880369248
0.058692481368780136,0.8366587,0.7104642014162077,137.9115713,0.6736446260568525
0.09999275952577591,0.6387563,0.7109190887666929,134.149909,0.6019807223757812
,0.95020425,0.7807807807807807,142.9902642,0.6891667204830182
0.06351205706596375,0.71931785,0.7424812030075187,135.4725345,0.5564437604656134
0.1014687642455101,0.5402477,0.7659854976928148,133.6118931,0.43004835392709095
0.1199464276432991,0.7244143,0.7933333333333333,129.250226,0.45966793690447727
0.05946200340986252,0.953444,0.759545923632611,132.7116783,0.6988796643868035
,0.85883844,0.7126984126984127,99.49321034,0.6538059390509686
0.09213221073150635,0.2401991,0.6871455576559546,101.4295839,0.3954722892970577
0.09850964695215225,-0.2605139,0.7700348432055749,105.256171,0.5616521796139894
0.06674961745738983,0.7477654,0.703125,92.28808542,0.7301308695128614
0.08823216706514359,0.89240134,0.7635467980295566,109.5549824,0.5235351401909488
0.082203708589077,0.92338395,0.7802083333333333,100.4972442,0.4435931082373065
0.08900689333677292,0.8060839,0.7253384912959381,99.53292141,0.47386312350083826
0.0855497419834137,0.91248554,0.7776809067131648,129.5299122,0.6108330505085653
0.10715331882238388,0.951033,0.8087291399229781,132.0193281,0.3883086114074937
0.05569015070796013,0.66471624,0.7103174603174603,134.2071844,0.6528486923536588
,0.9665859,0.7406015037593985,137.1860418,0.7149318446220819
0.07822052389383316,0.80850714,0.7944688874921433,144.1798102,0.5100757735971486
0.09193810075521469,-0.087395266,0.7724486116119726,132.8800543,0.6236446086951671
0.06383220851421356,0.7144151,0.7785285285285285,130.2752965,0.27923821973740376
0.07480625063180923,0.9245975,0.7517241379310344,139.5040025,0.5572764338931969
0.06433305144309998,0.96158355,0.75973832887303,120.9262515,0.5376792768356184
,0.9324869,0.7808510638297872,131.6192673,0.5708277097016162
0.04822377860546112,0.617722,0.746606334841629,136.395524,0.6521399215788162
0.07218852639198303,0.4987919,0.7733333333333333,123.1001231,0.48069275200531925
0.08487910777330399,0.7228881,0.7447368421052631,130.8565366,0.41581528890319336
0.07584946602582932,0.65381527,0.762962962962963,134.2610395,0.6328139559910139
0.058635178953409195,0.8144802,0.7777777777777778,119.9922463,0.13796724505166896
,0.83914775,0.6918767507002801,125.2691469,0.7614170795598477
,0.93460244,0.7919753086419753,132.1202944,0.6435544174435325
,0.9226484,0.7289992695398101,136.3115644,0.20213793510615363
,0.9052959,0.7466329966329966,120.310565,0.5382960822455828
0.04392648860812187,0.65380013,0.7879256965944272,121.054692,0.4142306237925944
0.041919950395822525,0.72606015,0.7307142857142858,120.9067385,0.7075056912220611
0.06976354122161865,0.44953528,0.7247619047619047,143.8736083,0.5797161115131604
0.10045848786830902,0.8888619,0.7461538461538462,147.9879887,0.3995774861174813
,0.88770694,0.763840830449827,154.2557493,0.16710085325264973
,0.81822383,0.7175925925925926,161.2336567,0.54978793170127
0.0981714278459549,0.57693774,0.7726923076923077,76.50354847,0.5133065040761855
0.11238685995340347,0.63825786,0.7088122605363985,76.88757341,0.6710510851371124
0.10812432318925858,0.8949371,0.7865557865557865,81.48178526,0.3738446999330817
0.125913605093956,0.8805037,0.7941810344827587,85.05597491,0.5585259408080667
0.11902741342782974,0.71524715,0.7352415026833632,75.19350679,0.6732146811207133
0.10360200703144073,0.49842477,0.7154882154882155,74.94573715,0.6564560108508395
,0.93232405,0.791992188,75.21449226,0.2557088416891569
0.0605878047645092,0.91240734,0.8222222222222222,128.8281726,0.5595375642218016
0.06567621231079102,0.80263144,0.6547368421052632,130.8839786,0.7285777081189496
0.083390973508358,0.71396375,0.7327659574468085,120.0931562,0.6746781520504747
0.06773804128170013,0.9497148,0.6941860465116279,113.6312926,0.3927620611780344
0.05832023546099663,0.9245031,0.729420731707317,120.4815626,0.692057057553795
0.084514319896698,0.63279057,0.7668997668997669,124.2151876,0.4592623544449656
,0.69857395,0.7085068411659726,122.6788335,0.31310101089435977
0.20587128400802612,0.20416047,0.7892307692307692,98.12728358,0.4974318462957266
0.07132293283939362,0.6907781,0.7631944444444444,99.53474435,0.5590562491174438
0.06522436439990997,0.6247345,0.7591397849462366,111.9298499,0.5246393340519807
,0.9173142,0.7478298611111112,107.1391002,0.5812882625380598
0.08570007979869843,0.41850734,0.7378378378378379,103.0675044,0.5305833402968753
,0.9324069,0.7455072463768115,101.3854169,0.7074884420219784
0.07548798620700836,0.9245704,0.7597069597069597,96.61924134,0.4849651844871013
0.1596810668706894,0.52850974,0.7716049382716049,141.33197,0.4620814170075314
0.0767611637711525,0.9160847,0.766023166023166,134.1299613,0.5738571374020704
,0.8136692,0.792,141.7135059,0.5125957911003763
,0.70146984,0.7967032967032966,151.0146587,0.4702501247176218
0.07105523347854614,0.8999239,0.7955555555555556,137.0077754,0.3092065047168653
0.0923631489276886,0.21739972,0.7025462962962963,136.2337444,0.7184121859107745
0.11655440926551819,0.801384,0.8020512820512821,142.4487729,0.7580926016177347
0.048831354826688766,0.42852676,0.7735042735042735,143.7250534,0.42806297812571215
0.07319928705692291,0.45207456,0.676954732510288,136.0322491,0.46847799524693257
0.06459302455186844,0.8538468,0.8277027027027027,139.1827903,0.40941536240954257
0.06303254514932632,0.5265949,0.7341961174713788,137.4980975,0.6252377099183041
0.07526148110628128,0.90669334,0.6976007243096424,135.4982152,0.69812864062055
0.05889223515987396,0.66070324,0.7532976827094474,157.2574318,0.4033713829431468
0.09071484953165054,0.44805118,0.7679045092838196,158.2703358,0.637800217882444
0.058698493987321854,0.6752631,0.7922051282051282,150.1012722,0.6424908653133184
0.07051137089729309,0.78039443,0.77375,155.8581214,0.34550695412524657
0.07482051104307175,0.644772,0.7038777908343126,122.2602385,0.6731275412251619
0.09660553932189941,0.43713048,0.7496296296296296,124.155996,0.6171261484998062
0.07303790003061295,0.4230813,0.7826388888888889,128.8476502,0.5699419499730917
,0.97957444,0.7386473429951691,123.7020372,0.272568867657778
0.04877493903040886,0.73151225,0.6484472049689441,124.8962108,0.8095931161090391
,0.8927647,0.7401285583103765,128.1614365,0.26744436993846543
0.04977070912718773,0.8697876,0.8108465608465608,122.4944093,0.42611374707699806
0.08115489035844803,0.7162596,0.7488425925925926,121.8904516,0.6984831868494307
0.061959702521562576,0.90884984,0.7528735632183908,123.1880744,0.44367768590386986
0.09474185109138489,0.9395965,0.7637867647058824,119.915656,0.6097142404366991
0.09239548444747925,0.8219501,0.6906666666666667,128.8120943,0.7268730755159327
0.10138191282749176,0.7899267,0.7759538598047915,124.70675,0.3518512678214283
0.1095450222492218,0.8836037,0.717391304347826,123.221835,0.7411203875911563
0.10081247240304947,0.69784415,0.7814712219144352,129.2596185,0.42666852820566153
,0.8869418,0.7711249789171867,125.8431261,0.22406631151575318
0.08496570587158203,0.70637006,0.7002567394094994,140.7971611,0.7250161328502152
0.0747014656662941,0.7156552,0.7810550198525241,133.7566028,0.4066909326880583
